Datum,Niederschlag,Month,Niederschlag_Lag_1,Niederschlag_Lag_2,Niederschlag_Lag_3,Niederschlag_Lag_7,Niederschlag_Rolling_Mean_3d,Niederschlag_Rolling_Sum_3d,Niederschlag_Rolling_Mean_7d,Niederschlag_Rolling_Sum_7d,Niederschlag_Rolling_Mean_14d,Niederschlag_Rolling_Sum_14d,Has_Rain,Heavy_Rain_Day,Year,DayOfWeek,IsWeekend,Rain_Category_Extreme_Rain,Rain_Category_Heavy_Rain,Rain_Category_Light_Rain,Rain_Category_Moderate_Rain,Rain_Category_No_Rain,Season_Autumn,Season_Spring,Season_Summer,Season_Winter
2013-05-01,0.0,5,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2013,2,0,False,False,False,False,True,False,True,False,False
2013-05-02,0.0,5,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2013,3,0,False,False,False,False,True,False,True,False,False
2013-05-03,0.0,5,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2013,4,0,False,False,False,False,True,False,True,False,False
2013-05-04,0.0,5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2013,5,1,False,False,False,False,True,False,True,False,False
2013-05-05,0.0,5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2013,6,1,False,False,False,False,True,False,True,False,False
2013-05-06,0.0,5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2013,0,0,False,False,False,False,True,False,True,False,False
2013-05-07,6.8,5,0.0,0.0,0.0,,2.2666666666666666,6.8,0.9714285714285714,6.8,0.9714285714285714,6.8,1,0,2013,1,0,False,False,False,True,False,False,True,False,False
2013-05-08,8.1,5,6.8,0.0,0.0,0.0,4.966666666666666,14.899999999999999,2.1285714285714286,14.899999999999999,1.8624999999999998,14.899999999999999,1,1,2013,2,0,False,True,False,False,False,False,True,False,False
2013-05-09,0.1,5,8.1,6.8,0.0,0.0,5.0,15.0,2.142857142857143,15.0,1.6666666666666667,15.0,1,0,2013,3,0,False,False,True,False,False,False,True,False,False
2013-05-10,0.0,5,0.1,8.1,6.8,0.0,2.733333333333333,8.2,2.142857142857143,15.0,1.5,15.0,0,0,2013,4,0,False,False,False,False,True,False,True,False,False
2013-05-11,0.7,5,0.0,0.1,8.1,0.0,0.2666666666666672,0.8000000000000017,2.242857142857143,15.700000000000001,1.4272727272727275,15.700000000000001,1,0,2013,5,1,False,False,True,False,False,False,True,False,False
2013-05-12,0.0,5,0.7,0.0,0.1,0.0,0.23333333333333392,0.7000000000000017,2.242857142857143,15.700000000000001,1.3083333333333333,15.700000000000001,0,0,2013,6,1,False,False,False,False,True,False,True,False,False
2013-05-13,4.8,5,0.0,0.7,0.0,0.0,1.833333333333334,5.500000000000002,2.9285714285714284,20.5,1.5769230769230769,20.5,1,0,2013,0,0,False,False,False,True,False,False,True,False,False
2013-05-14,0.1,5,4.8,0.0,0.7,6.8,1.6333333333333337,4.900000000000001,1.9714285714285713,13.799999999999999,1.4714285714285715,20.6,1,0,2013,1,0,False,False,True,False,False,False,True,False,False
2013-05-15,18.6,5,0.1,4.8,0.0,8.1,7.833333333333335,23.500000000000004,3.471428571428572,24.300000000000004,2.8000000000000003,39.2,1,1,2013,2,0,False,True,False,False,False,False,True,False,False
2013-05-16,0.0,5,18.6,0.1,4.8,0.1,6.233333333333334,18.700000000000003,3.4571428571428577,24.200000000000003,2.8000000000000003,39.2,0,0,2013,3,0,False,False,False,False,True,False,True,False,False
2013-05-17,0.3,5,0.0,18.6,0.1,0.0,6.300000000000002,18.900000000000006,3.5000000000000004,24.500000000000004,2.8214285714285716,39.5,1,0,2013,4,0,False,False,True,False,False,False,True,False,False
2013-05-18,2.8,5,0.3,0.0,18.6,0.7,1.0333333333333343,3.100000000000003,3.8000000000000003,26.6,3.021428571428572,42.300000000000004,1,0,2013,5,1,False,False,False,True,False,False,True,False,False
2013-05-19,0.6,5,2.8,0.3,0.0,0.0,1.2333333333333345,3.7000000000000033,3.885714285714286,27.200000000000003,3.0642857142857145,42.900000000000006,1,0,2013,6,1,False,False,True,False,False,False,True,False,False
2013-05-20,2.5,5,0.6,2.8,0.3,4.8,1.966666666666668,5.900000000000004,3.557142857142858,24.900000000000006,3.2428571428571433,45.400000000000006,1,0,2013,0,0,False,False,True,False,False,False,True,False,False
2013-05-21,61.6,5,2.5,0.6,2.8,0.1,21.566666666666666,64.7,12.342857142857143,86.4,7.157142857142858,100.20000000000002,1,1,2013,1,0,True,False,False,False,False,False,True,False,False
2013-05-22,13.1,5,61.6,2.5,0.6,18.6,25.733333333333334,77.2,11.557142857142859,80.9,7.514285714285715,105.20000000000002,1,1,2013,2,0,False,True,False,False,False,False,True,False,False
2013-05-23,1.1,5,13.1,61.6,2.5,0.0,25.26666666666667,75.80000000000001,11.714285714285717,82.00000000000001,7.585714285714286,106.2,1,0,2013,3,0,False,False,True,False,False,False,True,False,False
2013-05-24,0.8,5,1.1,13.1,61.6,0.3,5.0,15.0,11.785714285714286,82.5,7.642857142857143,107.0,1,0,2013,4,0,False,False,True,False,False,False,True,False,False
2013-05-25,9.7,5,0.8,1.1,13.1,2.8,3.8666666666666667,11.6,12.771428571428572,89.4,8.285714285714286,116.0,1,1,2013,5,1,False,True,False,False,False,False,True,False,False
2013-05-26,7.0,5,9.7,0.8,1.1,0.6,5.833333333333333,17.5,13.685714285714287,95.80000000000001,8.785714285714286,123.0,1,0,2013,6,1,False,False,False,True,False,False,True,False,False
2013-05-27,0.0,5,7.0,9.7,0.8,2.5,5.566666666666666,16.7,13.328571428571431,93.30000000000001,8.442857142857143,118.2,0,0,2013,0,0,False,False,False,False,True,False,True,False,False
2013-05-28,1.1,5,0.0,7.0,9.7,61.6,2.6999999999999997,8.1,4.685714285714285,32.8,8.514285714285716,119.20000000000002,1,0,2013,1,0,False,False,True,False,False,False,True,False,False
2013-05-29,3.3,5,1.1,0.0,7.0,13.1,1.4666666666666668,4.4,3.285714285714285,22.999999999999996,7.421428571428572,103.9,1,0,2013,2,0,False,False,False,True,False,False,True,False,False
2013-05-30,0.0,5,3.3,1.1,0.0,1.1,1.4666666666666668,4.4,3.1285714285714286,21.9,7.421428571428572,103.9,0,0,2013,3,0,False,False,False,False,True,False,True,False,False
2013-05-31,0.0,5,0.0,3.3,1.1,0.8,1.0999999999999999,3.3,3.014285714285714,21.099999999999998,7.4,103.60000000000001,0,0,2013,4,0,False,False,False,False,True,False,True,False,False
2013-06-01,0.0,6,0.0,0.0,3.3,9.7,0.0,0.0,1.6285714285714286,11.4,7.200000000000001,100.80000000000001,0,0,2013,5,1,False,False,False,False,True,False,False,True,False
2013-06-02,0.0,6,0.0,0.0,0.0,7.0,0.0,0.0,0.6285714285714287,4.4,7.1571428571428575,100.2,0,0,2013,6,1,False,False,False,False,True,False,False,True,False
